Table 1
Sport Name,Type,Carbs - Lose (g/kg),Carbs - Gain (g/kg),Carbs - Maintain (g/kg),Protein - Lose (g/kg),Protein - Gain (g/kg),Protein - Maintain (g/kg)
Exercise bike,Endurance,4,6,5,1.2,1.7,1.45
High Intensity Interval training,Endurance,4,6,5,1.2,1.7,1.45
Yoga/Stretching,Power,4,6,5,1.2,1.7,1.45
Injury Prevention,Power,4,6,5,1.2,1.7,1.45
